Name,Team,Attack Type,Attack Range,Projectile Speed,Primary Attribute,Strength Gain,Agility Gain,Intelligence Gain,Base Movespeed,Turnrate,Base Damage,Base Armor,Magic Armor,Attack Duration,Attack Action Time,Attack Cooldown,Aggro Range,Sight Range Day,Sight Range Night,Lvl1 Strength,Lvl1 Agility,Lvl1 Intelligence,Lvl1 Damage,Lvl1 Armor,Lvl1 HP,Lvl1 MP,Lvl1 HP Renegeration,Lvl1 MP Regeneration,Lvl25 Strength,Lvl25 Agility,Lvl25 Intelligence,Lvl25 Damage,Lvl25 Armor,Lvl25 HP,Lvl25 MP,Lvl25 HP Renegeration,Lvl25 MP Regeneration
"Monarch","Legion","ranged",600.0,1000.0,"Intelligence",1.7,1.6,3.0,295.0,450.0,"22.0-30.0",-1.0,5.75,1000.0,450.0,1700.0,800.0,1800.0,800.0,17.0,15.0,25.0,"47.0-55.0",1.1,473.0,325.0,0.76,1.01,77.0,73.0,117.0,"164.0-172.0",9.22,1613.0,1521.0,2.56,4.69
"Moraxus","Hellbourne","melee",128.0,"","Strength",2.8,1.7,1.7,300.0,540.0,"24.0-30.0",1.0,4.5,800.0,400.0,1700.0,600.0,1800.0,800.0,23.0,16.0,16.0,"47.0-53.0",3.24,587.0,208.0,1.69,0.65,110.0,76.0,76.0,"157.0-163.0",11.64,2240.0,988.0,4.3,3.05
"Oogie","Legion","melee",128.0,"","Intelligence",2.8,1.5,2.2,300.0,540.0,"27.0-33.0",2.0,5.5,1000.0,330.0,1700.0,600.0,1800.0,800.0,22.0,15.0,23.0,"50.0-56.0",4.1,568.0,299.0,1.66,0.93,109.0,71.0,95.0,"145.0-151.0",11.94,2221.0,1235.0,4.27,3.81
"Ophelia","Legion","ranged",600.0,1100.0,"Intelligence",1.5,1.7,2.8,300.0,540.0,"22.0-32.0",-1.0,5.5,1000.0,500.0,1700.0,800.0,1800.0,800.0,19.0,15.0,21.0,"43.0-53.0",1.1,511.0,273.0,0.82,0.85,75.0,75.0,108.0,"151.0-161.0",9.5,1575.0,1404.0,2.5,4.33
"Pearl","Legion","ranged",600.0,1200.0,"Intelligence",1.7,1.8,3.0,295.0,450.0,"21.0-29.0",0.0,5.5,970.0,560.0,1700.0,800.0,1800.0,800.0,16.0,17.0,24.0,"45.0-53.0",2.38,454.0,312.0,0.73,0.97,76.0,80.0,116.0,"161.0-169.0",11.2,1594.0,1508.0,2.53,4.65
"Pollywog Priest","Legion","ranged",550.0,900.0,"Intelligence",1.6,1.6,3.0,290.0,360.0,"21.0-28.0",-0.94,5.5,1000.0,300.0,1700.0,800.0,1800.0,800.0,19.0,16.0,21.0,"42.0-49.0",1.3,511.0,273.0,0.82,0.85,77.0,74.0,113.0,"155.0-162.0",9.42,1613.0,1469.0,2.56,4.53
"Puppet Master","Hellbourne","ranged",600.0,1125.0,"Intelligence",1.9,2.0,3.1,305.0,540.0,"28.0-36.0",0.0,5.5,1370.0,400.0,1700.0,800.0,1800.0,800.0,18.0,20.0,21.0,"49.0-57.0",2.8,492.0,273.0,0.79,0.85,83.0,88.0,115.0,"164.0-172.0",12.32,1727.0,1495.0,2.74,4.61
"Pyromancer","Legion","ranged",600.0,900.0,"Intelligence",1.5,1.5,3.2,295.0,450.0,"19.0-25.0",-1.1,5.5,1200.0,450.0,1700.0,800.0,1800.0,800.0,18.0,16.0,24.0,"43.0-49.0",1.14,492.0,312.0,0.79,0.97,74.0,72.0,120.0,"163.0-169.0",8.98,1556.0,1560.0,2.47,4.81
"Rampage","Legion","melee",128.0,"","Strength",2.5,1.7,1.8,295.0,450.0,"22.0-32.0",2.02,5.5,900.0,450.0,1700.0,600.0,1800.0,800.0,23.0,17.0,15.0,"45.0-55.0",4.4,587.0,195.0,1.69,0.61,103.0,77.0,78.0,"148.0-158.0",12.8,2107.0,1014.0,4.09,3.13
"Revenant","Hellbourne","ranged",600.0,1200.0,"Intelligence",1.8,2.0,2.7,300.0,540.0,"30.0-33.0",0.0,5.75,800.0,400.0,1700.0,800.0,1800.0,800.0,18.0,21.0,21.0,"51.0-54.0",2.94,492.0,273.0,0.79,0.85,81.0,89.0,105.0,"156.0-159.0",12.46,1689.0,1365.0,2.68,4.21
"Rhapsody","Legion","ranged",550.0,900.0,"Intelligence",1.8,1.7,2.8,300.0,540.0,"19.0-23.0",0.5,6.0,1000.0,400.0,1700.0,800.0,1800.0,800.0,18.0,17.0,28.0,"47.0-51.0",2.88,492.0,364.0,0.79,1.13,81.0,77.0,115.0,"162.0-166.0",11.28,1689.0,1495.0,2.68,4.61
